trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001.trj,299.00,103.38,-21.18,0.00,3.30,2.00,9.13,2.31,-5.97,-5.97,1.53,-1.97,6:04,rear end,5.65,168.59,317,10003,1,7.93,2.55,169.43,4.88,0.78,107.47,-22.07,97.62,-20.23,318,10003,1,4.94,2.07,167.45,7.18,1.53,132.41,-27.63,105.81,-21.71,1.00,99.00,99.00,
Intersection_1_001.trj,300.00,98.39,-20.30,0.00,0.60,3.00,7.15,4.06,-1.28,-1.95,2.97,-3.96,6:08,rear end,6.06,169.08,315,9,1,4.01,1.85,172.49,3.10,2.97,98.39,-20.30,90.05,-19.20,317,10003,1,7.93,2.55,168.53,7.15,1.09,119.54,-24.68,97.62,-20.23,1.00,99.00,99.00,
Intersection_1_001.trj,302.00,158.20,-36.34,0.00,0.00,0.00,9.02,5.65,-5.38,-5.38,2.82,-17.65,6:35,lane change,5.19,180.64,323,3,2,7.93,2.55,194.11,2.50,2.82,163.58,-34.99,158.20,-36.34,327,3,3,7.93,2.55,176.46,7.98,2.82,184.19,-39.38,166.02,-38.25,1.00,99.00,99.00,
Intersection_1_001.trj,304.00,142.41,-30.95,0.00,3.00,3.00,5.76,3.23,-0.39,-2.74,2.28,15.60,5:29,rear end,3.13,171.28,319,3,2,4.21,2.00,156.97,0.89,2.28,143.40,-32.47,131.23,-27.30,325,3,1,7.93,2.55,172.57,4.08,0.95,166.88,-32.40,147.16,-29.83,1.00,99.00,99.00,
Intersection_1_001.trj,306.00,151.11,-30.34,0.00,4.10,2.00,3.75,0.98,0.00,0.00,0.71,0.00,5:59,rear end,3.03,172.60,325,3,1,7.93,2.55,172.60,2.77,0.26,151.11,-30.34,141.59,-29.11,326,3,1,4.01,1.85,172.60,3.75,0.71,162.17,-31.78,154.73,-30.81,1.00,99.00,99.00,
Intersection_1_001.trj,306.00,164.39,-37.53,0.00,2.30,2.00,10.14,5.95,-0.37,-4.49,4.00,15.21,5:30,lane change,4.91,167.68,327,3,3,7.93,2.55,158.77,3.05,1.95,166.02,-38.25,156.80,-34.67,328,3,3,4.76,2.07,173.98,8.84,4.00,215.62,-43.61,168.06,-38.59,1.00,99.00,99.00,
Intersection_1_001.trj,304.00,89.29,-28.36,0.00,3.50,3.00,12.22,6.19,-3.18,-3.18,3.19,0.00,5:59,rear end,9.03,172.60,316,3,3,4.61,1.95,172.60,6.03,3.00,89.29,-28.36,81.22,-27.32,322,3,3,4.21,2.00,172.60,12.22,3.19,113.60,-31.52,87.46,-28.13,1.00,99.00,99.00,
Intersection_1_001.trj,307.00,33.54,-83.15,0.00,1.10,1.00,9.52,1.88,-2.96,-2.96,1.01,-0.02,6:00,rear end,8.51,82.35,163,5,3,4.76,2.07,82.36,7.64,0.87,33.54,-83.15,35.30,-70.03,164,5,3,4.21,2.00,82.34,9.52,1.01,31.92,-95.13,34.36,-77.00,1.00,99.00,99.00,
Intersection_1_001.trj,311.00,132.31,-27.39,0.00,1.30,1.00,6.85,1.49,-3.15,-3.15,1.09,3.22,5:54,rear end,5.10,169.47,325,10003,1,7.93,2.55,168.42,4.71,0.40,136.29,-28.19,126.77,-26.24,326,3,1,4.01,1.85,171.64,6.17,1.09,149.82,-30.17,134.64,-27.94,1.00,99.00,99.00,
Intersection_1_001.trj,310.00,86.17,-24.80,0.00,3.70,2.00,11.19,4.22,-2.98,-7.88,2.27,-3.33,6:07,rear end,9.26,171.06,324,3,2,4.21,2.00,173.23,7.00,2.27,86.17,-24.80,74.95,-23.47,314,3,2,4.76,2.07,169.90,11.19,1.95,104.67,-28.47,81.32,-24.31,1.00,99.00,99.00,
Intersection_1_001.trj,311.00,149.82,-30.17,0.00,3.40,3.00,12.98,6.62,-3.05,-3.05,3.31,1.46,5:57,rear end,9.47,172.12,326,3,1,4.01,1.85,171.14,6.17,3.31,149.82,-30.17,132.12,-27.42,329,3,1,4.01,1.85,172.60,12.78,3.31,184.07,-34.62,140.45,-28.96,1.00,99.00,99.00,
Intersection_1_001.trj,323.00,81.30,-18.14,0.00,3.80,1.00,9.83,3.05,-3.81,-3.81,2.23,-0.08,6:00,rear end,7.60,172.87,325,9,1,7.93,2.55,172.90,6.78,0.82,81.30,-18.14,71.49,-16.92,326,9,1,4.01,1.85,172.82,9.83,2.23,94.17,-19.75,79.35,-17.89,1.00,99.00,99.00,
Intersection_1_001.trj,325.00,106.13,-30.55,0.00,0.10,1.00,15.05,6.63,-3.09,-3.09,4.56,-2.53,6:05,lane change,10.50,171.47,330,3,3,10.22,2.50,172.60,8.44,2.06,131.67,-33.87,103.88,-30.26,332,3,3,4.92,2.34,170.07,15.05,4.56,167.99,-38.58,106.73,-27.86,1.00,99.00,99.00,
