class,probability,count
247,2.5291612289700243e-05,10
248,4.805406335043046e-05,19
249,2.0233289831760196e-05,8
250,3.5408257205580345e-05,14
251,3.0349934747640294e-05,12
252,3.0349934747640294e-05,12
253,7.5874836869100735e-06,3
254,1.7704128602790172e-05,7
255,2.5291612289700243e-05,10
256,3.5408257205580345e-05,14
257,2.7820773518670267e-05,11
258,5.0583224579400486e-05,20
259,4.046657966352039e-05,16
260,2.0233289831760196e-05,8
261,5.311238580837051e-05,21
262,8.093315932704078e-05,32
263,1.5174967373820147e-05,6
264,5.5641547037340534e-05,22
265,3.5408257205580345e-05,14
266,1.7704128602790172e-05,7
267,4.805406335043046e-05,19
268,1.7704128602790172e-05,7
269,5.817070826631056e-05,23
270,1.5174967373820147e-05,6
271,3.5408257205580345e-05,14
272,3.0349934747640294e-05,12
273,3.793741843455037e-05,15
274,2.276245106073022e-05,9
275,3.793741843455037e-05,15
276,5.817070826631056e-05,23
277,2.0233289831760196e-05,8
278,2.276245106073022e-05,9
279,4.805406335043046e-05,19
280,3.5408257205580345e-05,14
281,2.7820773518670267e-05,11
282,3.0349934747640294e-05,12
283,6.069986949528059e-05,24
284,1.2645806144850122e-05,5
285,3.5408257205580345e-05,14
286,5.0583224579400486e-05,20
287,1.5174967373820147e-05,6
288,2.0233289831760196e-05,8
289,1.5174967373820147e-05,6
290,3.793741843455037e-05,15
291,1.5174967373820147e-05,6
292,3.0349934747640294e-05,12
293,2.5291612289700245e-06,1
294,7.081651441116069e-05,28
295,1.5174967373820147e-05,6
296,3.5408257205580345e-05,14
297,3.0349934747640294e-05,12
298,5.058322457940049e-06,2
299,6.828735318219065e-05,27
300,1.2645806144850122e-05,5
301,1.2645806144850122e-05,5
302,8.852064301395085e-05,35
303,2.0233289831760196e-05,8
304,3.0349934747640294e-05,12
305,2.276245106073022e-05,9
306,6.32290307242506e-05,25
307,1.0116644915880098e-05,4
308,3.5408257205580345e-05,14
309,2.0233289831760196e-05,8
310,1.2645806144850122e-05,5
311,2.5291612289700245e-06,1
312,4.2995740892490416e-05,17
313,2.7820773518670267e-05,11
314,4.552490212146044e-05,18
315,1.5174967373820147e-05,6
316,1.2645806144850122e-05,5
317,1.7704128602790172e-05,7
318,5.311238580837051e-05,21
319,3.5408257205580345e-05,14
320,7.081651441116069e-05,28
321,3.2879095976610314e-05,13
322,1.7704128602790172e-05,7
323,3.2879095976610314e-05,13
324,5.0583224579400486e-05,20
325,1.0116644915880098e-05,4
326,3.5408257205580345e-05,14
327,2.0233289831760196e-05,8
328,3.5408257205580345e-05,14
329,2.5291612289700243e-05,10
330,2.7820773518670267e-05,11
331,4.046657966352039e-05,16
332,7.081651441116069e-05,28
333,2.276245106073022e-05,9
334,3.793741843455037e-05,15
335,2.0233289831760196e-05,8
336,2.0233289831760196e-05,8
337,4.805406335043046e-05,19
338,4.552490212146044e-05,18
339,7.587483686910074e-05,30
340,3.2879095976610314e-05,13
341,2.5291612289700243e-05,10
342,4.805406335043046e-05,19
343,2.5291612289700243e-05,10
344,1.5174967373820147e-05,6
345,2.0233289831760196e-05,8
346,1.7704128602790172e-05,7
347,1.5174967373820147e-05,6
348,4.805406335043046e-05,19
349,4.2995740892490416e-05,17
350,4.805406335043046e-05,19
351,4.046657966352039e-05,16
352,1.0116644915880098e-05,4
353,3.2879095976610314e-05,13
354,2.5291612289700243e-05,10
355,1.5174967373820147e-05,6
356,1.0116644915880098e-05,4
357,4.2995740892490416e-05,17
358,2.276245106073022e-05,9
359,3.793741843455037e-05,15
360,2.5291612289700245e-06,1
361,2.276245106073022e-05,9
362,4.2995740892490416e-05,17
363,3.0349934747640294e-05,12
364,3.0349934747640294e-05,12
365,3.0349934747640294e-05,12
366,4.552490212146044e-05,18
367,1.2645806144850122e-05,5
368,3.2879095976610314e-05,13
369,1.2645806144850122e-05,5
370,3.0349934747640294e-05,12
371,2.0233289831760196e-05,8
372,3.2879095976610314e-05,13
