trjFile,tMinTTC,xMinPET,yMinPET,zMinPET,TTC,PET,MaxS,DeltaS,DR,MaxD,MaxDeltaV,ConflictAngle,ClockAngle,ConflictType,PostCrashV,PostCrashHeading,FirstVID,FirstLink,FirstLane,FirstLength,FirstWidth,FirstHeading,FirstVMinTTC,FirstDeltaV,xFirstCSP,yFirstCSP,xFirstCEP,yFirstCEP,SecondVID,SecondLink,SecondLane,SecondLength,SecondWidth,SecondHeading,SecondVMinTTC,SecondDeltaV,xSecondCSP,ySecondCSP,xSecondCEP,ySecondCEP,P(UEA),mTTC,mPET,
Intersection_1_001-rs-w-jrude6.trj,168.00,49.60,9.54,0.00,0.00,0.00,8.99,1.68,-1.06,-1.99,1.12,-2.41,6:05,rear end,7.89,77.78,231,10004,1,6.67,2.60,78.69,7.35,0.56,46.41,-6.36,49.60,9.54,240,10012,1,4.36,1.97,76.28,8.99,1.12,39.35,-22.08,47.36,10.71,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,196.00,31.88,-72.90,0.00,3.60,2.00,17.43,9.01,-3.34,-3.34,5.25,0.95,5:58,rear end,12.18,82.91,248,5,4,7.93,2.55,82.34,8.42,3.76,29.99,-87.00,33.85,-58.25,250,5,4,6.04,2.40,83.29,17.43,5.25,24.84,-133.67,32.68,-66.94,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,215.00,97.61,-20.17,0.00,2.90,3.00,16.40,16.25,-1.28,-3.18,8.13,-3.89,6:08,rear end,8.13,168.98,594,9,1,4.61,1.95,172.87,0.00,8.13,97.61,-20.17,77.10,-17.61,595,3,2,4.61,1.95,168.98,16.25,8.13,174.73,-35.51,92.88,-19.57,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,226.00,17.66,-7.39,0.00,1.60,1.00,8.28,2.52,-0.02,-5.76,1.74,-0.19,6:00,rear end,6.54,352.61,22,10,1,7.93,2.55,352.69,5.77,0.77,12.47,-6.72,29.37,-8.89,24,10,1,4.61,1.95,352.49,8.28,1.74,-4.89,-4.41,21.16,-7.84,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,229.00,-47.28,7.54,0.00,2.70,3.00,4.05,4.05,-2.25,-2.25,3.04,-12.01,6:24,lane change,1.01,337.97,31,7,2,10.22,2.50,349.98,0.00,1.01,-47.28,7.54,-42.46,6.69,37,7,3,4.21,2.00,337.97,4.05,3.04,-61.02,11.05,-53.82,8.14,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,230.00,35.78,-66.39,0.00,3.40,3.00,4.35,4.35,-2.94,-2.94,2.21,0.01,5:59,rear end,2.14,82.35,252,5,3,4.64,2.00,82.34,0.00,2.14,35.78,-66.39,37.29,-55.20,256,5,3,4.61,1.95,82.35,4.35,2.21,34.26,-77.74,35.56,-68.07,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,231.00,5.80,-5.88,0.00,3.50,3.00,8.11,6.27,-2.51,-2.51,3.25,-3.57,6:07,rear end,4.86,349.73,26,10,1,4.66,2.27,352.59,1.84,3.02,4.16,-5.66,8.50,-6.23,27,10008,1,4.76,2.07,349.03,8.11,3.25,-15.67,-2.00,1.40,-5.31,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,234.00,-31.95,1.99,0.00,1.70,1.00,7.88,1.37,-0.25,-7.26,0.73,2.05,5:56,rear end,6.59,347.22,28,10008,1,4.21,2.00,346.16,5.96,0.64,-31.95,1.99,-11.30,-3.10,36,7,1,4.01,1.85,348.20,7.31,0.73,-39.53,3.08,-17.98,-1.42,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,237.00,50.90,19.47,0.00,0.00,0.00,12.91,0.89,-0.03,-0.16,0.67,-3.23,6:06,rear end,8.28,77.92,242,10004,1,12.14,2.55,78.78,8.09,0.22,43.08,-19.93,50.90,19.47,246,10012,1,4.94,2.07,75.55,8.85,0.67,38.39,-26.41,49.29,15.90,1.00,99.00,99.00,
Intersection_1_001-rs-w-jrude6.trj,238.00,51.47,24.89,0.00,4.40,1.00,11.05,5.34,-0.16,-7.10,3.09,1.18,5:58,rear end,7.96,81.88,246,8,1,4.94,2.07,81.19,5.72,2.25,51.47,24.89,52.35,30.53,247,8,1,4.01,1.85,82.36,11.05,3.09,50.31,14.73,51.31,22.17,1.00,99.00,99.00,
